City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
595,barranquilla,CO,78.58,clear sky,10.9639,-74.7964,Hotel Don Jorge
600,boende,CD,72.57,broken clouds,-0.2167,20.8667,
608,inhambane,MZ,78.31,clear sky,-23.865,35.3833,Oceano
609,pangkalanbuun,ID,74.37,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
611,dubbo,AU,71.73,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
615,cockburn town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
616,san rafael,AR,71.91,clear sky,-34.6177,-68.3301,Hotel San Rafael
619,kasongo-lunda,CD,71.11,overcast clouds,-6.4667,16.8167,
621,la palma,US,70.2,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
624,san policarpo,PH,79.77,overcast clouds,12.1791,125.5072,Agapita M. Nicart
627,batemans bay,AU,75.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
636,sri aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
646,cap malheureux,MU,73.89,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
653,jutai,BR,76.24,broken clouds,-5.1833,-68.9,
664,san juan de uraba,CO,77.99,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
670,shakawe,BW,70.25,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
672,wattegama,LK,72.73,overcast clouds,6.7989,81.4808,
676,moron,AR,79.02,broken clouds,-34.6534,-58.6198,Hotel Morón
679,bombay,IN,78.78,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
