City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
102,aswan,EG,2021-12-12 12:17:24,24.0934,32.907,86.34,34,100,4.76,overcast clouds,0.0,0
103,katsuura,JP,2021-12-12 12:17:24,35.1333,140.3,65.19,63,17,26.89,few clouds,0.0,0
104,elizabethtown,US,2021-12-12 12:14:22,37.694,-85.8591,30.02,73,0,2.75,clear sky,0.0,0
105,saint-georges,GD,2021-12-12 12:17:25,12.0564,-61.7485,80.28,83,75,5.75,broken clouds,0.0,0
106,midland,US,2021-12-12 12:15:22,31.9974,-102.0779,40.48,41,1,4.61,clear sky,0.0,0
107,haines junction,CA,2021-12-12 12:17:25,60.7522,-137.5108,-0.45,60,100,10.36,overcast clouds,0.0,0
108,dhidhdhoo,MV,2021-12-12 12:17:26,6.8833,73.1,82.94,71,100,9.1,overcast clouds,0.0,0
109,rio pardo,BR,2021-12-12 12:17:26,-29.9897,-52.3781,78.21,50,72,7.61,broken clouds,0.0,0
110,puerto madryn,AR,2021-12-12 12:17:04,-42.7692,-65.0385,65.05,29,1,22.46,clear sky,0.0,0
111,dikson,RU,2021-12-12 12:17:26,73.5069,80.5464,-21.05,97,64,7.43,broken clouds,0.0,0
112,ilulissat,GL,2021-12-12 12:17:27,69.2167,-51.1,21.22,68,75,9.22,broken clouds,0.0,0
113,srednekolymsk,RU,2021-12-12 12:17:27,67.45,153.6833,-49.38,100,87,2.48,overcast clouds,0.0,0
114,hermanus,ZA,2021-12-12 12:17:27,-34.4187,19.2345,73.9,68,100,7.0,overcast clouds,0.0,0
115,ushuaia,AR,2021-12-12 12:17:28,-54.8,-68.3,46.06,93,90,19.57,light rain,0.0,0
116,port elizabeth,ZA,2021-12-12 12:16:33,-33.918,25.5701,78.1,78,75,10.36,broken clouds,0.0,0
117,kodiak,US,2021-12-12 12:17:28,57.79,-152.4072,11.71,57,1,32.21,clear sky,0.0,0
118,nikolskoye,RU,2021-12-12 12:17:28,59.7035,30.7861,23.4,95,100,6.11,overcast clouds,0.0,0
119,la ronge,CA,2021-12-12 12:15:24,55.1001,-105.2842,10.65,85,1,2.3,clear sky,0.0,0
120,vila franca do campo,PT,2021-12-12 12:17:29,37.7167,-25.4333,63.19,83,100,10.29,overcast clouds,0.0,0
121,quatre cocos,MU,2021-12-12 12:17:29,-20.2078,57.7625,82.51,69,54,15.01,light rain,0.0,0
122,ketchikan,US,2021-12-12 12:16:23,55.3422,-131.6461,36.07,80,75,20.71,moderate rain,0.0,0
123,belaya gora,RU,2021-12-12 12:17:30,68.5333,146.4167,-45.72,99,87,0.81,overcast clouds,0.0,0
124,bagua grande,PE,2021-12-12 12:17:30,-5.7561,-78.4411,74.84,82,74,1.54,broken clouds,0.0,0
125,izmit,TR,2021-12-12 12:17:30,40.7669,29.9169,62.78,82,75,9.22,broken clouds,0.0,0
126,bengkulu,ID,2021-12-12 12:17:31,-3.8004,102.2655,79.09,86,96,6.2,overcast clouds,0.0,0
127,walvis bay,NA,2021-12-12 12:17:31,-22.9575,14.5053,64.09,51,18,17.02,few clouds,0.0,0
128,hovd,MN,2021-12-12 12:17:31,48.0056,91.6419,6.42,66,0,4.56,clear sky,0.0,0
129,butaritari,KI,2021-12-12 12:17:32,3.0707,172.7902,82.38,74,99,15.88,overcast clouds,0.0,0
130,san carlos del zulia,VE,2021-12-12 12:17:32,9.0,-71.9135,72.55,92,93,3.11,overcast clouds,0.0,0
131,tongliao,CN,2021-12-12 12:17:32,43.6125,122.2653,5.05,78,1,7.16,clear sky,0.0,0
132,okitipupa,NG,2021-12-12 12:17:33,6.5047,4.7839,99.61,26,65,1.01,broken clouds,0.0,0
133,puerto ayora,EC,2021-12-12 12:17:33,-0.7393,-90.3518,68.56,96,100,6.85,overcast clouds,0.0,0
